0;-147;-64;-44;-134;-63;66
1;-129;36;-1;-126;37;3
2;67;88;61;179;89;62
3;185;-51;-32;186;-50;22
4;125;29;1;128;31;2
5;-19;17;-40;-16;18;-25
6;-21;-51;77;108;-50;81
7;-143;-52;-23;189;-51;-5
8;214;-11;-28;215;14;-11
9;175;21;-52;179;22;-51
10;183;44;80;185;59;81
11;-89;-8;39;154;-4;40
12;146;-64;-15;161;-63;66
13;172;-69;76;173;-68;77
14;147;-52;-74;190;-51;-55
15;51;-64;-80;161;-63;-61
16;144;48;-42;148;49;-41
17;-157;-52;38;188;-51;41
18;-205;47;-21;-204;50;-19
19;177;14;-11;179;15;8
20;153;-55;-69;156;-53;-68
21;45;-64;-73;51;-63;-61
22;-136;39;-14;-132;40;-1
23;142;-52;28;188;-51;38
24;144;40;7;147;45;8
25;-73;-52;62;188;-51;64
26;-38;20;-17;-37;21;-16
27;31;67;73;106;68;79
28;-86;-64;53;146;-63;66
29;117;48;20;118;51;21
30;-184;31;-47;-178;32;-44
31;211;-26;-94;213;-1;-93
32;-127;60;-60;-118;61;-59
33;208;36;-4;210;38;-3
34;134;-51;80;185;-50;81
35;93;-5;31;101;-4;32
36;46;6;80;185;44;81
37;162;62;-8;168;63;-7
38;-83;-52;58;188;-51;62
39;119;9;13;179;10;14
40;-158;54;-49;-157;55;-43
41;4;-6;-65;5;2;-32
42;54;-39;80;185;6;81
43;-27;-56;-82;161;-53;-81
44;-187;33;-49;-182;34;-44
45;9;-20;-47;10;-19;31
46;-6;-13;37;185;-10;38
47;-6;93;65;4;94;66
48;-114;63;-51;-108;64;-50
49;-9;0;42;158;4;43
50;66;5;43;184;6;44
51;183;56;62;184;57;65
52;-150;16;-43;-141;17;-41
53;156;46;-61;160;47;-60
54;-165;14;-32;-162;15;2
55;138;34;8;143;35;9
56;189;-53;-21;209;-52;75
57;-88;17;-85;-85;19;-83
58;6;-34;81;12;-33;82
59;-113;59;-57;-102;60;-56
60;-208;7;70;-207;26;73
61;185;-51;-86;186;-50;-32
62;148;10;-88;157;12;-87
63;-72;38;-49;-71;41;-45
64;37;78;29;50;81;30
65;-183;31;-44;-179;32;26
66;-202;39;-4;-201;40;4
67;194;57;-53;208;58;-52
68;-127;-52;-50;189;-51;-23
69;-209;-30;-46;-208;9;13
70;92;-19;32;94;-16;33
71;-99;-64;63;-86;-63;66
72;-12;39;19;-3;40;20
73;-150;-58;55;-145;-57;56
74;214;0;-51;215;14;-28
75;175;-80;68;178;-70;69
76;-125;37;80;46;67;81
77;-113;15;2;-13;16;3
78;-164;91;66;-108;93;67
79;167;3;-98;168;6;-97
80;-99;40;8;-98;54;9
81;95;67;67;166;69;68
82;10;52;57;12;53;59
83;-72;20;-55;-35;21;-54
84;-201;48;-9;-200;51;-7
85;-14;-52;13;188;-51;28
86;183;-15;29;185;-5;30
87;184;88;63;189;89;64
88;-177;2;15;-175;3;22
89;144;80;26;146;83;27
90;-135;-54;18;-134;-53;47
91;87;-52;-84;191;-51;-82
92;-56;12;-83;-32;13;-82
93;106;61;22;108;64;23
94;170;75;23;175;76;24
95;88;-16;33;121;-10;34
96;179;13;-18;181;14;10
97;-125;67;11;-118;68;12
98;-166;-52;50;187;-51;58
99;3;61;30;6;62;31
100;-123;67;68;74;68;73
101;178;20;-25;179;22;3
102;-91;-1;34;-5;0;35
103;-103;65;-26;-100;66;-7
104;119;19;10;151;20;11
105;116;3;43;184;5;44
106;-77;1;41;-66;2;43
107;-149;50;-12;-147;51;-3
108;146;40;-60;148;42;-59
109;159;-4;40;184;-2;41
110;-180;31;-56;-178;32;-47
111;-135;18;13;-126;20;14
112;141;-56;65;161;-53;67
113;-148;-9;38;185;-7;39
114;-73;43;23;-72;44;25
115;58;13;4;130;14;5
116;-42;-32;81;-1;-31;82
117;-36;75;31;-6;76;32
118;-80;79;74;-46;84;75
119;168;55;-51;173;56;-50
120;121;-52;-62;147;-51;-50
121;-149;15;-55;-141;16;-54
122;-4;76;73;-1;81;74
123;-2;39;20;1;40;21
124;182;26;-33;185;27;-28
125;-193;51;-57;-176;52;-54
126;3;-52;29;142;-51;38
127;131;-22;-96;184;-21;-94
128;214;-21;1;215;13;14
129;-187;33;-29;-183;34;27
130;3;-1;41;184;1;42
131;-67;28;18;-51;29;19
132;142;25;9;158;26;10
133;-180;65;54;-179;82;57
134;-36;39;21;-34;40;23
135;-154;-51;17;-153;-50;20
136;158;16;1;175;17;2
137;90;9;-86;112;10;-85
138;28;16;-48;29;18;-45
139;-196;48;30;-187;49;31
140;-136;-5;-99;-78;-2;-98
141;-65;5;-92;-60;7;-91
142;184;22;79;189;27;80
143;-211;47;-40;-209;48;-35
144;83;88;38;111;89;39
145;-176;88;63;-174;90;64
146;-116;69;-33;-114;70;-22
147;-25;53;29;-22;67;30
148;-158;-76;66;-157;-73;68
149;47;80;70;127;81;71
150;184;-51;69;186;-50;78
151;164;-1;28;166;2;29
152;32;-1;37;51;0;38
153;213;-44;44;215;-43;52
154;-87;-64;-71;45;-63;-61
155;-193;33;28;-187;34;41
156;49;-58;65;161;-56;67
157;89;-52;-65;147;-51;-62
158;-206;27;46;-205;31;52
159;89;-1;23;94;1;26
160;-163;11;-21;-161;14;-20
161;212;1;-93;213;29;-92
162;8;83;65;11;89;67
163;-126;35;6;-123;36;8
164;74;48;20;75;49;22
165;-62;22;-33;-50;23;-31
166;-198;42;24;-197;43;34
167;-150;-62;58;-148;-60;59
168;133;31;7;139;32;8
169;-73;-64;-80;51;-63;-73
170;117;12;-82;127;14;-81
171;-146;94;60;-98;95;62
172;-107;34;-73;-102;35;-72
173;-103;16;-2;-47;17;1
174;-84;20;-15;-41;21;-14
175;59;17;-3;83;18;-2
176;129;39;-18;130;42;-17
177;22;-29;80;54;-19;81
178;84;-52;45;187;-51;50
179;-152;68;31;-134;69;32
180;-203;29;77;-201;31;78
181;-114;68;-32;-110;69;-27
182;-84;-64;45;146;-63;53
183;201;33;2;205;34;6
184;18;-51;-93;71;-50;-92
185;-200;32;-14;-198;34;-10
186;198;39;24;199;41;26
187;-16;0;38;5;1;40
188;-174;-18;-12;-173;-17;21
189;-34;-18;31;-28;-15;32
190;209;-52;-16;212;-51;22
191;-95;22;-25;-59;23;-24
192;130;18;-1;172;19;0
193;-74;59;29;-68;69;30
194;126;91;44;139;92;45
195;1;9;-62;2;10;20
196;5;90;42;7;91;44
197;213;-43;-40;214;-37;-39
198;12;-2;33;61;-1;34
199;181;-14;36;185;-12;37
200;184;-18;31;185;-4;36
201;-2;-5;80;54;6;81
202;-145;37;-63;-141;38;-62
203;-14;95;59;5;96;61
204;-178;-21;-56;-170;-20;-7
205;160;59;3;164;60;5
206;20;15;-23;23;16;6
207;-166;55;-8;-161;56;-5
208;63;-1;23;89;1;26
209;-87;51;-49;-84;52;-46
210;-209;-1;28;-208;7;31
211;179;53;19;183;54;21
212;-167;17;4;-166;18;10
213;-204;-52;-4;-203;-51;26
214;-126;-19;80;-51;37;81
215;213;-47;-42;214;-37;-40
216;-35;-61;65;161;-58;67
217;-119;67;-47;-117;68;-41
218;-195;33;5;-193;35;16
219;-24;-3;40;159;-2;41
220;48;-52;42;187;-51;45
221;180;89;33;183;90;34
222;-77;87;71;-30;89;72
223;-152;-68;-83;-151;-53;-82
224;82;13;3;122;14;4
225;203;34;-5;207;35;-2
226;166;20;-48;167;21;-10
227;170;31;7;179;32;8
228;140;-60;-25;141;-53;46
229;-163;41;23;-156;43;24
230;68;58;23;72;59;24
231;-79;23;-38;-74;24;-22
232;-172;52;60;-166;53;61
233;213;5;68;214;26;74
234;-178;-13;11;-176;-12;27
235;23;12;15;34;13;16
236;44;-52;-61;121;-51;-50
237;142;66;70;184;67;79
238;-209;-33;2;-208;-30;59
239;-128;-51;-79;-119;-50;-78
240;-45;18;-7;-29;19;-6
241;-122;69;-40;-118;70;-35
242;-203;31;66;-200;32;75
243;11;60;63;19;61;65
244;-169;-51;-88;18;-50;-87
245;123;80;27;127;83;28
246;189;32;-57;193;34;20
247;56;17;-3;59;18;-1
248;-50;-18;34;-18;-17;36
249;54;73;70;79;74;71
250;57;5;14;162;7;16
251;-179;-16;-88;-177;5;-87
252;59;-1;33;91;0;34
253;38;92;47;56;93;53
254;-122;-52;60;-83;-51;66
255;-176;57;-32;-172;58;-20
256;-26;16;-73;-17;17;-70
257;-34;19;-16;-29;20;-14
258;170;61;80;184;66;81
259;42;29;13;46;30;15
260;126;30;10;146;32;11
261;20;-51;66;31;-50;77
262;-148;-50;-97;142;-49;-96
263;-69;26;-37;-68;29;-33
264;-153;68;31;-152;70;32
265;9;53;30;10;54;33
266;-64;3;20;-23;5;21
267;-140;-52;23;-14;-51;38
268;-84;14;45;-81;15;48
269;202;29;-97;206;30;-96
270;-94;16;-3;-88;19;-2
271;143;-44;80;185;-39;81
272;-47;-51;-81;-45;-50;-80
273;-145;51;-8;-143;52;-4
274;33;93;49;39;94;52
275;123;74;70;146;75;71
276;131;-8;31;139;-7;32
277;-59;24;-3;-57;26;-2
278;46;-58;-62;141;-53;-61
279;-170;69;36;-169;74;37
280;-162;-31;81;-10;-30;82
281;185;39;27;187;41;28
282;-177;5;-79;-176;7;-65
283;-179;49;59;-166;50;60
284;-13;-17;81;47;-13;82
285;-138;-11;-100;-88;-10;-99
286;-208;-45;-61;-207;-21;-59
287;-150;-52;20;-14;-51;23
288;-131;25;10;-124;26;11
289;95;34;13;111;36;14
290;36;-18;-96;41;-17;-95
291;46;6;-92;51;7;-89
292;135;-52;-67;147;-51;-65
293;97;69;69;123;71;70
294;175;14;-50;178;15;-44
295;-93;-63;-62;141;-58;-61
296;-137;57;30;-133;67;31
297;-137;-64;-49;-134;-63;-44
298;225;39;-42;227;41;-40
299;-195;-53;11;-179;-52;18
